name,date
Actinea Adalbaldus,February 2
Alarinus Rambardi,July 20
Alarinus Rambardus,July 21
Albertus Besutius,September 3
Alexandrus Saullius,October 11
Alexandrus Vinciolus,May 3
Alexis Falconieri,February 17
Aloisius Rabata,May 11
Ambrosius Autpertus,July 19
Ambrosius Sansedonius,March 20
Andrea Corsini,January 8
Andrea Corsini,February 4
Andrea Corsini,January 30
Andrea Corsini,January 6
Andrea Gallerani,March 19
Andrea Gulafri,June 24
Andreas Dottus,August 31
Andreas Scotus,August 22
Angela Bohemica,July 6
Angela Merici,February 21
Angela Mericus,May 31
Antonia Brixana,October 27
Antonius Fatatus,January 9
Antonius Hungarus,May 13
Arduinus Angligene,October 25
Arnaldus Cataneus,March 14
Arnaldus Cataneus,February 10
Auditus Blitarus,November 1
Augustinus Novellus,May 19
Augustinus Novellus,April 28
Bartholomeus Amideus,April 18
Beatrix Atestina,May 10
Beatrix Atestina,January 18
Bernadinus Feltrien,September 28
Bernardus Balbus,September 18
Bernardus Calvonius,October 16
Bernardus Calvonius,October 26
Bernardus Ptolomeus,August 21
Bonaventuras Bonacursius,December 14
Bonfilius Monaldus,January 1
Carolus Borromeus,November 4
Castora Gabrielli,June 14
Catharine Gravel,July 25
Celsas Odrovantius,July 16
Ceslaus Odrovantius,February 20
Christiana Oringa,January 4
Clara Gambacorte,April 17
Claudius Bernardus,March 23
Colette Boilet,March 6
Constantia Xira,May 30
Cornelius Musius,December 10
Dalmatius Monerius,September 24
Dominicus Leonesius,April 20
Dominicus Loricatus,October 14
Dominicus Vallius,August 31
Dominicus Vernagallus,April 20
Donatus Scotus,October 22
Eelko Liaukama,March 22
Elisabeth Bona,November 25
Elisabeth Bona,December 5
Elisabeth Picenardi,February 19
Emilia Biccheria,May 3
Emilia Bicchieri,August 17
Felix Vialardus,May 10
Felix Violardus,June 11
Firmina Caesia,June 7
Francisca Pollalionea,August 4
Franciscus Borgia,October 10
Franciscus Caracciolo,June 4
Franciscus Regidius,December 31
Franciscus Salesius,December 28
Franciscus Xaverius,December 3
Gabriel Ferretus,November 12
Gaston Renticius,April 24
Georgius Cremonen,August 16
Geraldus Bracharen,December 5
Gerardus Mecatti,June 8
Germaine Cousin,June 15
Gilbertus Nicolas,August 27
Gregorius Cellus,May 4
Gregorius Thaumaturgus,November 17
Guido Marramaldi,June 25
Guillelmus Cuffitella,April 4
Guillelmus Firmatus,April 24
Guillelmus Picio,July 29
Guillelmus Politiens,April 16
Guillelmus Temperius,March 29
Heinricus Suso,January 25
Heinricus Zdiko,June 25
Heinricus Zweifalten,November 4
Hermannus Josephius,April 7
Imelda Lambertina,May 12
Ivo Maioicus,September 20
Jacobus Illyricus,April 27
Jacobus Philippus,May 25
Jacobus Ungarellus,November 2
Jeronymus Garibaldus,October 22
Jeronymus Ghirarducius,August 8
Jeronymus Ghirarducius,March 5
Jeronymus Ranutius,December 12
Joanna Scopelli,July 9
Johanes Orcus,August 3
Johanna Lusitana,May 12
Johanna Soderini,September 1
Johanna Soderini,October 27
Johannes Arminius,May 11
Johannes Bassandi,August 26
Johannes Bonvisius,May 21
Johannes Cacciafronte,March 16
Johannes Calybites,January 15
Johannes Cantius,December 24
Johannes Cantius,October 20
Johannes Chisius,October 28
Johannes Fisher,June 22
Johannes Galbertus,October 10
Johannes Galbertus,July 12
Johannes Galtus,May 23
Johannes Liccus,November 14
Johannes Lobedavius,October 9
Johannes Manetti,August 27
Johannes Monasteriens,May 5
Johannes Orcus,October 2
Johannes Orcus,October 20
Johannes Prandotha,September 21
Johannes Raynutius,June 8
Johannes Salernitatus,September 10
Johannes Scriba,June 22
Johannes Scriba,April 1
Johannes Theriste,February 24
Josephus Calasanctus,August 27
Juliana Falconieri,June 19
Julianus Cesarelli,November 4
Julianus Urius,March 17
Ladislaus Gielnovius,May 4
Lambertus Agricola,June 19
Lanfrancus Beccarus,June 23
Luca Casalius,March 2
Lucia Bartolini,October 29
Lucia Bufalar,July 27
Ludovicus Alamandus,September 16
Ludovicus Bertrandus,October 10
Ludovicus Bertrandus,October 9
Ludovicus Blosius,January 7
Ludovicus Morbiolus,October 28
Luitprandus Vernula,January 6
Magdalena Albrica,May 13
Margareta Faventina,August 26
Margareta Fontana,September 13
Maria Bonelle,March 24
Maria Dolorosa,June 18
Maria Lumaca,September 4
Marianus Scotus,February 9
Marianus Scotus,July 4
Marina Escobar,June 9
Marina Vallerina,June 18
Mathildis Scote,April 12
Mattheus Lucimacen,June 11
Michael Gedrocius,May 4
Nicholas Hermanni,July 24
Nicolas Paleta,February 14
Nicolaus Albergatus,May 9
Nicolaus Factor,December 23
Notkerus Balbulus,April 6
Notkerus Labeo,July 28
Oddinus Barotti,July 21
Osanna Andrasia,June 18
Paschal Baylon,May 17
Paschasius Radbertus,April 26
Paulus Novus,July 8
Peregrinus Latiosus,April 30
Peregrinus Latiosus,May 1
Peter Compater,June 15
Peter Gambacurta,June 17
Petronilla Hergods,March 16
Petrus Acotantus,September 23
Petrus Arbuesius,September 17
Petrus Armengal,September 1
Petrus Armengal,April 27
Petrus Berulle,October 2
Petrus Chrysologus,December 3
Petrus Chrysologus,December 2
Petrus Chrysologus,December 4
Petrus Claverius,September 8
Petrus Criscus,July 19
Petrus Forerius,July 7
Petrus Gonsalvus,April 15
Petrus Hieremias,March 10
Petrus Hieremie,March 3
Petrus Igneus,February 8
Petrus Monoculus,October 29
Petrus Nolascus,January 29
Petrus Nolascus,December 25
Petrus Nolascus,January 31
Petrus Pappacarbone,March 4
Petrus Parentius,May 21
Petrus Paschasius,December 6
Petrus Paschasius,October 23
Petrus Ragot,May 13
Petrus Regalatus,March 30
Petrus Regalatus,May 13
Petrus Teutonicus,April 26
Petrus Thomasius,January 6
Petrus Thomasius,January 29
Petrus Urseolus,January 10
Philippa Mareri,February 16
Philippus Benitus,August 22
Philippus Benitus,August 23
Philippus Nerius,May 26
Prince Ferdinand,June 5
Probus Veronen,January 12
Rabanus Maurus,February 4
Ramundus Nonnatus,August 26
Raymundus Lullus,June 30
Raymundus Nonnatus,August 31
Raymundus Palmarius,July 28
Richard Kirkman,August 22
Robertus Malatesta,October 10
Robertus Salentini,July 18
Sanctius Urbinas,August 14
Sebastianus Maggus,December 16
Severus Sulpicius,January 29
Simon Stoc,May 16
Stanislas Kostka,November 13
Stanislas Kostka,August 15
Stephanus Agazzarus,October 28
Thomas Aquinas,January 28
Thomas Aquinas,July 18
Thomas Aquinas,March 8
Thomas Aquinas,March 7
Thomas Helias,October 19
Thomas More,July 6
Thomas Plumtree,January 4
Two Ewaldi,October 29
Ugolinus Magalotus,December 11
Ursicinus Medicus,June 19
Ursula Benincasa,October 20
Victoria Furnaria,December 15
Villana Botti,February 28
Villana Bottia,August 26
Vitalis Siculus,March 9
